               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.025358,            0.033708,                   0,             0.99191,             0.98742,             0.99465,              0.7935,            0.022344,            0.016445,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.025075,            0.035581,                   0,             0.99144,             0.98672,             0.99455,             0.78993,            0.022552,            0.016424,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.025074,            0.034343,                   0,             0.99193,             0.99053,             0.99472,             0.79383,            0.022849,            0.016246,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.024865,            0.033314,                   0,             0.99251,             0.99053,             0.99481,             0.79742,            0.022428,            0.015926,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.024311,            0.034084,                   0,             0.99743,             0.98958,              0.9949,              0.7988,            0.021974,            0.015926,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.024381,            0.034122,                   0,             0.99477,             0.99153,             0.99489,             0.80164,            0.022058,             0.01588,                   0,            0.004555,            0.004555,            0.004555
                  57,             0.02454,            0.033344,                   0,              0.9943,             0.99153,             0.99489,             0.80222,            0.021932,             0.01563,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.024201,            0.033972,                   0,             0.99296,             0.99242,             0.99483,             0.80866,            0.021728,            0.015559,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.024136,            0.034035,                   0,             0.99512,             0.99242,             0.99484,             0.81148,            0.021763,            0.015424,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.024119,            0.033541,                   0,              0.9927,             0.99053,             0.99488,             0.80948,            0.022226,            0.015482,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.023973,            0.033441,                   0,             0.99273,             0.99006,             0.99466,             0.80536,            0.022222,            0.015468,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.023992,            0.033201,                   0,             0.99523,             0.98881,              0.9949,             0.81166,            0.021758,            0.015312,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.023562,            0.032498,                   0,             0.99499,              0.9929,             0.99497,             0.81592,            0.021421,            0.015412,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.023632,            0.032877,                   0,             0.99539,              0.9929,             0.99492,             0.81653,            0.021233,             0.01523,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.023562,            0.032461,                   0,             0.99257,             0.99195,             0.99492,             0.80848,            0.021522,            0.015344,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.023564,             0.03365,                   0,              0.9943,             0.99147,             0.99493,             0.81344,            0.021644,            0.015218,                   0,            0.003565,            0.003565,            0.003565
                  67,             0.02361,            0.032455,                   0,              0.9943,             0.99042,              0.9949,             0.81074,            0.021492,            0.015213,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.023056,            0.032232,                   0,             0.98963,             0.99391,             0.99488,             0.81165,            0.021667,            0.015086,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.023466,            0.032634,                   0,             0.99608,             0.99006,             0.99489,             0.81807,            0.021079,            0.015219,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.023453,            0.032809,                   0,             0.99336,              0.9916,              0.9949,             0.81256,            0.020966,            0.015126,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.023393,            0.032209,                   0,             0.99556,             0.99242,             0.99489,             0.82189,            0.020967,            0.014905,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.023176,            0.033037,                   0,             0.99476,             0.98853,             0.99479,             0.81903,             0.02074,            0.015018,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.023517,            0.031864,                   0,             0.99369,             0.99053,             0.99491,              0.8192,            0.020727,            0.015033,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.023082,            0.032383,                   0,              0.9934,             0.99527,             0.99492,              0.8226,             0.02073,            0.014878,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.022501,            0.031403,                   0,             0.99351,             0.99432,             0.99491,             0.82041,            0.020802,             0.01504,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.022682,            0.032303,                   0,             0.99695,             0.99242,             0.99496,              0.8193,            0.020752,            0.015094,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.022845,            0.031868,                   0,             0.99382,             0.98989,             0.99492,             0.82246,            0.020509,            0.015073,                   0,            0.002476,            0.002476,            0.002476
                  78,             0.02251,             0.03105,                   0,             0.99432,             0.99407,             0.99492,             0.82333,            0.020217,            0.014805,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.022795,            0.031694,                   0,             0.99417,             0.99384,             0.99488,              0.8206,            0.020364,            0.014843,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.022577,            0.030326,                   0,              0.9946,             0.99384,             0.99487,              0.8255,            0.020326,            0.014847,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.022581,            0.031252,                   0,             0.99478,             0.99341,             0.99494,             0.82787,            0.020272,            0.014565,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.022538,              0.0325,                   0,             0.99498,              0.9929,             0.99496,             0.82807,              0.0201,             0.01449,                   0,            0.001981,            0.001981,            0.001981
                  83,             0.02246,            0.031998,                   0,             0.99524,             0.99018,             0.99493,             0.82705,             0.02016,            0.014456,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.022209,            0.032106,                   0,              0.9962,             0.99375,             0.99496,             0.82356,            0.020342,            0.014641,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.022062,            0.031803,                   0,              0.9962,             0.99189,             0.99497,             0.82515,            0.020181,            0.014662,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.022076,            0.030174,                   0,             0.99479,             0.99483,             0.99495,             0.82811,            0.020243,            0.014665,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.022073,            0.032037,                   0,             0.99525,             0.99208,             0.99489,             0.82655,            0.020404,            0.014675,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.022009,            0.030924,                   0,             0.99602,             0.99337,             0.99494,             0.83085,            0.020076,            0.014551,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.021926,            0.031048,                   0,             0.99384,             0.99352,             0.99491,             0.83134,            0.020123,            0.014563,                   0,            0.001288,            0.001288,            0.001288
                  90,             0.02198,             0.03091,                   0,             0.99563,             0.99242,             0.99491,             0.83353,            0.019834,            0.014439,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.021596,            0.029457,                   0,             0.99384,             0.99347,             0.99491,             0.83444,            0.019868,            0.014446,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.021431,            0.030061,                   0,             0.99202,             0.99479,             0.99494,             0.83395,            0.019728,            0.014345,                   0,            0.000991,            0.000991,            0.000991
                  93,             0.02174,            0.030204,                   0,             0.99526,             0.99422,             0.99496,             0.83579,            0.019678,            0.014269,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.021636,            0.030746,                   0,             0.99621,             0.99456,             0.99494,             0.83648,            0.019734,            0.014241,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.022077,            0.030325,                   0,             0.99633,             0.99479,             0.99496,             0.83632,            0.019662,            0.014212,                   0,            0.000694,            0.000694,            0.000694
                  96,             0.02161,            0.031223,                   0,              0.9951,             0.99384,             0.99495,              0.8376,            0.019547,            0.014265,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.021504,            0.030233,                   0,              0.9962,             0.99303,             0.99496,             0.83952,             0.01946,            0.014173,                   0,            0.000496,            0.000496,            0.000496
                  98,             0.02156,            0.029568,                   0,             0.99667,             0.99337,             0.99493,             0.83795,            0.019476,            0.014141,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.021585,            0.029937,                   0,             0.99348,             0.99432,             0.99491,             0.83675,            0.019461,            0.014085,                   0,            0.000298,            0.000298,            0.000298
